Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
22:28.0,22:28.0,0,14.637942,121.075005,6.85396518,55.6365155,6.918429439,0,2.140462637,2.708593279,271.6902974,286.6825562,289.3886719,12.07031345,-33.47329314,0
22:29.0,22:29.0,0,14.637936,121.074995,6.952069791,55.55457333,6.927345519,0,1.373800635,2.708593279,271.946897,275.0603638,277.7664795,12.06625843,-30.62042385,0
22:30.0,22:30.0,1.025377989,14.637932,121.074979,6.994146889,55.48467248,6.91462678,1.815961727,1.373800635,2.708593279,271.9243873,252.0882568,254.7943726,12.06293201,-29.0453706,0
22:31.0,22:31.0,2.025769949,14.637933,121.074961,7.112478013,55.50025386,6.909543489,3.789888707,0.897999227,2.708593279,273.5289787,238.4550629,241.1611786,12.05368996,-27.6884682,0
22:32.0,22:32.0,3.025751948,14.637933,121.074947,7.208069513,55.48248073,6.91167169,5.264505907,0.820038557,2.708593279,275.185204,184.220932,186.9270477,12.05995274,-26.94507785,0
22:33.0,22:33.0,4.026783943,14.637937,121.074942,7.434978476,55.48071496,6.917970092,5.959995774,0.626298189,1.7070895,275.1852045,268.0288086,270.7349243,12.06906605,-25.89836813,0
22:34.0,22:34.0,5.025599003,14.637938,121.074945,7.602222805,55.45663039,6.937599604,6.381285149,0.184295714,1.7070895,-1,292.5898438,295.2959595,12.07384777,-24.62235548,0
22:35.0,22:35.0,6.025256991,14.637939,121.074945,7.576780878,55.47643644,6.73447951,6.468748788,0.192422405,1.7070895,-1,285.0156555,287.7217712,12.08460999,-22.27378747,0
22:36.0,22:36.0,7.02423203,14.63794,121.074941,7.681091094,55.45831442,6.757403973,6.922727901,0.082907923,1.7070895,-1,296.0773315,298.7834473,12.09285831,-21.66071511,0
22:37.0,22:37.0,8.024742961,14.637941,121.074939,7.742748887,55.44672138,6.774771041,7.133417352,0.113494232,1.7070895,-1,287.5482178,290.2543335,12.10159779,-21.5746326,0
22:38.0,22:38.0,9.024664998,14.637941,121.074935,7.635997857,55.44713337,6.761999401,7.635317264,0.065792538,0.263678542,-1,284.0453491,286.7514648,12.10853004,-21.6646217,0
22:39.0,22:39.0,10.02505803,14.63794,121.074935,7.67480094,55.45927683,6.779062288,7.809306998,0.008362994,0.263678542,-1,273.9492798,276.6553955,12.11345673,-20.07228186,0
22:40.0,22:40.0,11.02527702,14.637934,121.07493,7.488186992,55.45218422,6.779478366,8.660760237,0.284465611,0.263678542,275.1852053,288.8554382,291.561554,12.11266518,-20.52453314,0
22:41.0,22:41.0,12.02422702,14.637929,121.074925,7.345531769,55.4523458,6.750692587,9.417982073,0.200636178,0.263678542,-1,285.4849243,288.19104,12.11375427,-22.36677346,0
