                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0137,                 3.6032,                 1.7377,                0.00514,                0.91935,                 0.0088,                0.00421,                  1.795,                 3.4302,                 1.6666,                 0.0901,                 0.0001,                 0.0001
                      1,                 1.9308,                 3.4354,                 1.6992,                0.00514,                0.91935,                0.00975,                 0.0042,                 1.6743,                 3.3382,                 1.5887,               0.079206,             0.00020584,             0.00020584
                      2,                 1.8258,                 3.3039,                  1.651,                0.00505,                0.90323,                 0.0118,                0.00507,                 1.5088,                 3.2768,                 1.4538,               0.068307,             0.00030733,             0.00030733
                      3,                 1.6544,                 3.1174,                  1.542,                0.00523,                0.93548,                0.03553,                0.01663,                 1.3386,                 3.1941,                 1.3746,               0.057404,             0.00040446,             0.00040446
                      4,                  1.633,                 2.8891,                  1.519,                0.00541,                0.96774,                0.20937,                0.12839,                 1.2293,                 3.0275,                 1.3567,               0.046497,             0.00049723,             0.00049723
                      5,                 1.5715,                 2.5695,                 1.4868,                      1,                0.23475,                0.79996,                0.49522,                 1.2426,                 2.6473,                 1.3851,               0.035586,             0.00058565,             0.00058565
                      6,                 1.5481,                 2.1064,                 1.4589,                0.88056,                0.71351,                 0.8032,                0.50666,                 1.3259,                  2.198,                 1.4183,                0.02467,             0.00066971,             0.00066971
                      7,                  1.596,                 1.8726,                 1.4689,                0.90363,                0.75622,                0.82295,                0.51555,                 1.3445,                 1.7794,                 1.4427,               0.013749,             0.00074942,             0.00074942
                      8,                 1.5314,                 1.7597,                 1.4524,                0.90797,                0.80645,                0.84386,                0.49895,                  1.338,                 1.7407,                 1.4397,              0.0028248,             0.00082477,             0.00082477
                      9,                  1.511,                 1.6137,                 1.4156,                0.87187,                0.70968,                0.80185,                0.48295,                 1.2835,                 1.7547,                 1.4105,              0.0008218,              0.0008218,              0.0008218
                     10,                  1.475,                 1.5796,                 1.4008,                0.73414,                0.75806,                0.80755,                0.48605,                 1.2075,                 1.7034,                 1.3574,              0.0008218,              0.0008218,              0.0008218
                     11,                  1.474,                 1.4808,                 1.3695,                0.83742,                0.80645,                0.83458,                0.52779,                 1.2981,                 1.5182,                 1.3975,               0.000802,               0.000802,               0.000802
                     12,                 1.3974,                 1.3715,                 1.3513,                0.94198,                0.78569,                0.84939,                0.55825,                  1.266,                 1.4288,                 1.3511,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.4276,                 1.3837,                 1.3442,                0.93932,                0.80645,                0.86896,                0.58358,                 1.1886,                 1.3006,                 1.2864,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.3833,                 1.3512,                 1.3221,                0.91015,                0.81697,                0.88148,                0.59481,                 1.1874,                 1.2191,                 1.2894,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.3614,                 1.2792,                 1.3433,                0.95036,                0.83871,                0.88147,                0.59676,                 1.2156,                 1.2037,                 1.3011,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.3879,                 1.3038,                 1.3181,                0.95031,                0.83871,                0.88151,                0.58848,                 1.2207,                 1.1779,                 1.3148,               0.000703,               0.000703,               0.000703
                     17,                 1.3303,                 1.2869,                   1.31,                0.96293,                0.83794,                0.88783,                0.58108,                 1.2182,                 1.1872,                 1.3046,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.3787,                 1.2672,                 1.3383,                0.95297,                0.82258,                0.90595,                0.60255,                 1.1861,                  1.149,                 1.2793,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.3285,                   1.22,                 1.2651,                0.98065,                0.81756,                0.91156,                0.60967,                 1.1864,                 1.1207,                 1.2759,              0.0006436,              0.0006436,              0.0006436
                     20,                 1.2664,                 1.2092,                 1.2793,                0.97415,                0.82258,                 0.9111,                 0.6149,                 1.1426,                 1.1079,                 1.2686,              0.0006238,              0.0006238,              0.0006238
                     21,                 1.3074,                 1.1823,                 1.2585,                0.96323,                0.83871,                0.92349,                0.61542,                 1.1571,                 1.0811,                 1.2809,               0.000604,               0.000604,               0.000604
                     22,                 1.2984,                  1.157,                 1.2329,                0.96299,                0.83947,                0.92735,                0.61656,                 1.2061,                 1.0674,                  1.306,              0.0005842,              0.0005842,              0.0005842
                     23,                 1.2867,                 1.1284,                 1.2585,                0.96291,                0.87097,                0.92659,                 0.6409,                 1.1338,                 1.0661,                 1.2508,              0.0005644,              0.0005644,              0.0005644
                     24,                  1.266,                 1.1532,                 1.2594,                0.96357,                0.85323,                0.92961,                 0.6329,                 1.1488,                 1.0781,                  1.249,              0.0005446,              0.0005446,              0.0005446
                     25,                  1.308,                 1.1665,                 1.2908,                0.96308,                0.84152,                0.92818,                0.61806,                 1.1355,                 1.0901,                 1.2368,              0.0005248,              0.0005248,              0.0005248
                     26,                 1.2543,                 1.0994,                 1.2285,                0.98103,                0.83424,                0.92789,                0.61175,                 1.1303,                  1.073,                 1.2451,               0.000505,               0.000505,               0.000505
                     27,                 1.2108,                 1.1085,                 1.2289,                0.98095,                 0.8305,                 0.9323,                0.63506,                 1.1227,                 1.0633,                 1.2288,              0.0004852,              0.0004852,              0.0004852
                     28,                 1.2634,                 1.0776,                 1.2284,                0.98092,                 0.8291,                0.93117,                0.63487,                 1.0991,                 1.0558,                 1.2174,              0.0004654,              0.0004654,              0.0004654
                     29,                 1.2423,                 1.0529,                 1.2281,                0.98095,                0.83051,                0.93683,                0.62988,                  1.097,                 1.0348,                 1.2171,              0.0004456,              0.0004456,              0.0004456
                     30,                 1.2311,                 1.0726,                 1.2434,                 0.9713,                0.83871,                0.93867,                0.64355,                 1.1123,                 1.0261,                 1.2159,              0.0004258,              0.0004258,              0.0004258
                     31,                 1.2094,                0.99405,                 1.2109,                0.97729,                0.83871,                0.93972,                0.64466,                  1.094,                  1.003,                 1.2141,               0.000406,               0.000406,               0.000406
                     32,                 1.2002,                 1.0226,                 1.2147,                0.98103,                0.83431,                0.94196,                 0.6533,                 1.1223,                 1.0006,                 1.2258,              0.0003862,              0.0003862,              0.0003862
                     33,                 1.2211,                 1.0319,                 1.2054,                0.99522,                0.82258,                0.94505,                0.64497,                 1.1183,                0.99263,                 1.2255,              0.0003664,              0.0003664,              0.0003664
                     34,                 1.2019,                 1.0376,                 1.2271,                0.97595,                0.85484,                0.94444,                0.64618,                 1.0945,                0.98621,                 1.2061,              0.0003466,              0.0003466,              0.0003466
                     35,                 1.1993,                  1.035,                 1.1894,                0.96675,                0.83871,                0.94187,                 0.6408,                 1.0996,                0.99819,                 1.2138,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.1814,                 0.9736,                 1.1843,                0.96963,                0.83871,                 0.9401,                0.63709,                  1.105,                  0.986,                 1.2148,               0.000307,               0.000307,               0.000307
                     37,                  1.179,                 1.0218,                 1.2233,                0.98014,                0.83871,                0.94173,                0.64261,                 1.0989,                0.98731,                 1.2059,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.1674,                0.99373,                  1.207,                 0.9811,                0.83736,                0.94272,                0.63524,                 1.0868,                0.97014,                 1.1996,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.1837,                 1.0209,                 1.1768,                0.98108,                0.83644,                0.94288,                0.64693,                 1.0967,                0.96478,                 1.2029,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.1699,                0.98501,                 1.1997,                0.97449,                0.83871,                0.94364,                0.65656,                 1.1048,                0.96053,                 1.2118,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.1717,                0.96786,                 1.1723,                0.97597,                0.82258,                0.94067,                0.63563,                 1.1274,                0.97122,                 1.2244,               0.000208,               0.000208,               0.000208
                     42,                 1.1958,                0.98797,                 1.2089,                 0.9811,                0.83735,                0.94222,                0.63455,                 1.1225,                0.97048,                 1.2261,              0.0001882,              0.0001882,              0.0001882
                     43,                 1.1861,                 0.9557,                 1.1722,                0.97853,                0.83871,                0.94173,                0.64058,                 1.0954,                0.95505,                   1.22,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.1986,                 1.0295,                 1.2125,                0.96365,                0.85525,                0.94409,                0.64709,                 1.0815,                0.94193,                 1.2101,              0.0001486,              0.0001486,              0.0001486
                     45,                   1.16,                0.92772,                  1.153,                0.96315,                0.84325,                0.94195,                0.64293,                 1.0788,                0.94593,                 1.2087,              0.0001288,              0.0001288,              0.0001288
                     46,                 1.1991,                0.98662,                 1.2203,                0.96334,                0.84776,                0.94103,                0.64597,                 1.0705,                0.94878,                    1.2,               0.000109,               0.000109,               0.000109
                     47,                 1.1653,                0.95145,                 1.1722,                      1,                0.85286,                0.94593,                0.64516,                 1.0668,                0.94788,                 1.2015,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                 1.1158,                0.99264,                 1.2061,                      1,                0.85061,                0.94554,                0.64855,                 1.0649,                 0.9484,                 1.1959,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 1.1857,                0.94986,                 1.1777,                      1,                0.85106,                0.94652,                0.64973,                 1.0693,                0.94892,                 1.1968,               4.96e-05,               4.96e-05,               4.96e-05
